ID,SVL,Population,Colour,BodyRegion,Background,dS,dL
m101,111,Hawaii,Courtship,gular,Leaf_B1,0.750029064,35.9003371
m101,111,Hawaii,Courtship,gular,Leaf_B2,1.629486343,35.9940408
m101,111,Hawaii,Courtship,gular,Leaf_T1,5.231387194,57.8353767
m101,111,Hawaii,Courtship,gular,Leaf_T2,2.906851607,56.3127576
m101,111,Hawaii,Courtship,gular,Stem1,2.540156996,37.9364221
m101,111,Hawaii,Courtship,gular,Stem2,1.590935751,43.3611807
m101,111,Hawaii,Courtship,midflank,Leaf_B1,3.391144367,30.1761307
m101,111,Hawaii,Courtship,midflank,Leaf_B2,5.036293451,30.2698344
m101,111,Hawaii,Courtship,midflank,Leaf_T1,3.040992724,52.1111703
m101,111,Hawaii,Courtship,midflank,Leaf_T2,3.59729227,50.5885513
m101,111,Hawaii,Courtship,midflank,Stem1,5.619898595,32.2122157
m101,111,Hawaii,Courtship,midflank,Stem2,4.89165672,37.6369744
m101,111,Hawaii,Courtship,tailbase,Leaf_B1,1.867406823,17.7303437
m101,111,Hawaii,Courtship,tailbase,Leaf_B2,1.623649556,17.8240474
m101,111,Hawaii,Courtship,tailbase,Leaf_T1,6.527969471,39.6653834
m101,111,Hawaii,Courtship,tailbase,Leaf_T2,4.140307009,38.1427643
m101,111,Hawaii,Courtship,tailbase,Stem1,1.527201112,19.7664287
m101,111,Hawaii,Courtship,tailbase,Stem2,0.726495616,25.1911874
m101b,108,Hawaii,Courtship,gular,Leaf_B1,3.707745743,32.359635
m101b,108,Hawaii,Courtship,gular,Leaf_B2,2.413202275,32.4533387
m101b,108,Hawaii,Courtship,gular,Leaf_T1,8.170930615,54.2946747
m101b,108,Hawaii,Courtship,gular,Leaf_T2,5.323343011,52.7720556
m101b,108,Hawaii,Courtship,gular,Stem1,2.562002788,34.39572
m101b,108,Hawaii,Courtship,gular,Stem2,2.478712484,39.8204787
m101b,108,Hawaii,Courtship,midflank,Leaf_B1,4.343485908,28.6137588
m101b,108,Hawaii,Courtship,midflank,Leaf_B2,5.962568621,28.7074625
m101b,108,Hawaii,Courtship,midflank,Leaf_T1,2.29516144,50.5487985
m101b,108,Hawaii,Courtship,midflank,Leaf_T2,3.904012176,49.0261794
m101b,108,Hawaii,Courtship,midflank,Stem1,6.692793245,30.6498438
m101b,108,Hawaii,Courtship,midflank,Stem2,5.970605238,36.0746025
m101b,108,Hawaii,Courtship,tailbase,Leaf_B1,3.30190161,9.4658718
m101b,108,Hawaii,Courtship,tailbase,Leaf_B2,2.358238571,9.5595755
m101b,108,Hawaii,Courtship,tailbase,Leaf_T1,7.970202335,31.4009114
m101b,108,Hawaii,Courtship,tailbase,Leaf_T2,5.413817089,29.8782923
m101b,108,Hawaii,Courtship,tailbase,Stem1,0.623319085,11.5019568
m101b,108,Hawaii,Courtship,tailbase,Stem2,1.497137101,16.9267154
m101b,108,Hawaii,Courtship,topflank,Leaf_B1,3.004230966,22.0317958
m101b,108,Hawaii,Courtship,topflank,Leaf_B2,4.643432074,22.1254995
m101b,108,Hawaii,Courtship,topflank,Leaf_T1,3.541156431,43.9668355
m101b,108,Hawaii,Courtship,topflank,Leaf_T2,3.628210221,42.4442164
m101b,108,Hawaii,Courtship,topflank,Stem1,5.131297317,24.0678808
m101b,108,Hawaii,Courtship,topflank,Stem2,4.391015277,29.4926395
m101c,136,Hawaii,Courtship,gular,Leaf_B1,1.021244915,22.3200657
m101c,136,Hawaii,Courtship,gular,Leaf_B2,2.685695323,22.4137694
m101c,136,Hawaii,Courtship,gular,Leaf_T1,3.961182469,44.2551053
m101c,136,Hawaii,Courtship,gular,Leaf_T2,2.252994356,42.7324862
m101c,136,Hawaii,Courtship,gular,Stem1,3.546259226,24.3561507
m101c,136,Hawaii,Courtship,gular,Stem2,2.720094644,29.7809093
m101c,136,Hawaii,Courtship,midflank,Leaf_B1,2.252703242,28.1499413
m101c,136,Hawaii,Courtship,midflank,Leaf_B2,3.841934326,28.243645
m101c,136,Hawaii,Courtship,midflank,Leaf_T1,3.921738363,50.0849809
m101c,136,Hawaii,Courtship,midflank,Leaf_T2,3.224525773,48.5623618
m101c,136,Hawaii,Courtship,midflank,Stem1,4.516089633,30.1860263
m101c,136,Hawaii,Courtship,midflank,Stem2,3.640420718,35.6107849
m101c,136,Hawaii,Courtship,tailbase,Leaf_B1,2.549777987,12.8297968
m101c,136,Hawaii,Courtship,tailbase,Leaf_B2,2.223238061,12.9235005
m101c,136,Hawaii,Courtship,tailbase,Leaf_T1,6.921160158,34.7648365
m101c,136,Hawaii,Courtship,tailbase,Leaf_T2,4.554931719,33.2422174
m101c,136,Hawaii,Courtship,tailbase,Stem1,2.41012681,14.8658818
m101c,136,Hawaii,Courtship,tailbase,Stem2,1.766733653,20.2906405
m101c,136,Hawaii,Courtship,topflank,Leaf_B1,1.632829434,1.1340214
m101c,136,Hawaii,Courtship,topflank,Leaf_B2,1.766709536,1.2277251
m101c,136,Hawaii,Courtship,topflank,Leaf_T1,6.132392874,23.0690611
m101c,136,Hawaii,Courtship,topflank,Leaf_T2,3.83673499,21.546442
m101c,136,Hawaii,Courtship,topflank,Stem1,2.106418608,3.1701064
m101c,136,Hawaii,Courtship,topflank,Stem2,1.221044516,8.5948651
m104,112,Hawaii,Courtship,gular,Leaf_B1,7.567657786,26.9238677
m104,112,Hawaii,Courtship,gular,Leaf_B2,9.104820981,27.0175714
m104,112,Hawaii,Courtship,gular,Leaf_T1,4.055865347,48.8589073
m104,112,Hawaii,Courtship,gular,Leaf_T2,6.68887949,47.3362882
m104,112,Hawaii,Courtship,gular,Stem1,9.792467331,28.9599527
m104,112,Hawaii,Courtship,gular,Stem2,9.160338726,34.3847113
m104,112,Hawaii,Courtship,midflank,Leaf_B1,4.349390234,31.2213743
m104,112,Hawaii,Courtship,midflank,Leaf_B2,5.908092331,31.3150781
m104,112,Hawaii,Courtship,midflank,Leaf_T1,3.203701622,53.156414
m104,112,Hawaii,Courtship,midflank,Leaf_T2,4.293851337,51.6337949
m104,112,Hawaii,Courtship,midflank,Stem1,6.398391274,33.2574594
m104,112,Hawaii,Courtship,midflank,Stem2,5.777729129,38.682218
m104,112,Hawaii,Courtship,tailbase,Leaf_B1,2.616240617,35.6332122
m104,112,Hawaii,Courtship,tailbase,Leaf_B2,1.53019327,35.7269159
m104,112,Hawaii,Courtship,tailbase,Leaf_T1,7.285289999,57.5682519
m104,112,Hawaii,Courtship,tailbase,Leaf_T2,4.612481325,56.0456328
m104,112,Hawaii,Courtship,tailbase,Stem1,0.274456079,37.6692972
m104,112,Hawaii,Courtship,tailbase,Stem2,0.914870792,43.0940559
m104,112,Hawaii,Courtship,topflank,Leaf_B1,1.973780011,23.8253857
m104,112,Hawaii,Courtship,topflank,Leaf_B2,3.399786461,23.9190894
m104,112,Hawaii,Courtship,topflank,Leaf_T1,4.530257876,45.7604253
m104,112,Hawaii,Courtship,topflank,Leaf_T2,3.431711808,44.2378062
m104,112,Hawaii,Courtship,topflank,Stem1,3.63856801,25.8614707
m104,112,Hawaii,Courtship,topflank,Stem2,2.994685501,31.2862293
m108,,Kenya,Courtship,gular,Leaf_B1,2.737771051,22.2351652
m108,,Kenya,Courtship,gular,Leaf_B2,3.054182718,23.5538726
m108,,Kenya,Courtship,gular,Leaf_T1,4.965214288,37.8890118
m108,,Kenya,Courtship,gular,Leaf_T2,3.340553159,38.9648207
m108,,Kenya,Courtship,gular,Stem1,4.755491417,32.8037103
m108,,Kenya,Courtship,gular,Stem2,5.383987835,23.8340549
m108,,Kenya,Courtship,midflank,Leaf_B1,5.568448531,14.8398169
m108,,Kenya,Courtship,midflank,Leaf_B2,4.751199601,16.1585243
m108,,Kenya,Courtship,midflank,Leaf_T1,1.833285054,30.4936635
m108,,Kenya,Courtship,midflank,Leaf_T2,4.226737368,31.5694724
m108,,Kenya,Courtship,midflank,Stem1,5.356673621,25.4083621
m108,,Kenya,Courtship,midflank,Stem2,5.666865486,16.4387066
m108,,Kenya,Courtship,midflank,Leaf_B1,7.929217873,19.5912688
m108,,Kenya,Courtship,midflank,Leaf_B2,7.106219371,20.9099762
m108,,Kenya,Courtship,midflank,Leaf_T1,4.15265761,35.2451154
m108,,Kenya,Courtship,midflank,Leaf_T2,6.575619801,36.3209242
m108,,Kenya,Courtship,midflank,Stem1,7.458241851,30.1598139
m108,,Kenya,Courtship,midflank,Stem2,7.637126697,21.1901584
m108,,Kenya,Courtship,tailbase,Leaf_B1,0.689114431,5.436921
m108,,Kenya,Courtship,tailbase,Leaf_B2,1.429826712,6.7556283
m108,,Kenya,Courtship,tailbase,Leaf_T1,4.414912634,21.0907676
m108,,Kenya,Courtship,tailbase,Leaf_T2,1.926549998,22.1665764
m108,,Kenya,Courtship,tailbase,Stem1,2.722055821,16.0054661
m108,,Kenya,Courtship,tailbase,Stem2,3.481691954,7.0358106
m108,,Kenya,Courtship,topflank,Leaf_B1,3.914186349,4.4920244
m108,,Kenya,Courtship,topflank,Leaf_B2,3.181392957,5.8107317
m108,,Kenya,Courtship,topflank,Leaf_T1,1.121590224,20.1458709
m108,,Kenya,Courtship,topflank,Leaf_T2,2.540242869,21.2216798
m108,,Kenya,Courtship,topflank,Stem1,3.634276217,15.0605695
m108,,Kenya,Courtship,topflank,Stem2,4.226811041,6.090914
m11b,,Kenya,Courtship,gular,Leaf_B1,5.208951744,29.6986833
m11b,,Kenya,Courtship,gular,Leaf_B2,4.397137062,31.0173906
m11b,,Kenya,Courtship,gular,Leaf_T1,1.617986798,45.3525299
m11b,,Kenya,Courtship,gular,Leaf_T2,3.924033252,46.4283387
m11b,,Kenya,Courtship,gular,Stem1,5.231625183,40.2672284
m11b,,Kenya,Courtship,gular,Stem2,5.547329273,31.2975729
m11b,,Kenya,Courtship,midflank,Leaf_B1,7.028818686,26.8378516
m11b,,Kenya,Courtship,midflank,Leaf_B2,6.162904357,28.1565589
m11b,,Kenya,Courtship,midflank,Leaf_T1,3.894806065,42.4916982
m11b,,Kenya,Courtship,midflank,Leaf_T2,5.807186442,43.567507
m11b,,Kenya,Courtship,midflank,Stem1,6.381565534,37.4063967
m11b,,Kenya,Courtship,midflank,Stem2,6.309961265,28.4367412
m11b,,Kenya,Courtship,tailbase,Leaf_B1,2.638716757,0.7963685
m11b,,Kenya,Courtship,tailbase,Leaf_B2,2.632202766,2.1150758
m11b,,Kenya,Courtship,tailbase,Leaf_T1,4.753205299,16.4502151
m11b,,Kenya,Courtship,tailbase,Leaf_T2,3.140207611,17.5260239
m11b,,Kenya,Courtship,tailbase,Stem1,4.096514792,11.3649136
m11b,,Kenya,Courtship,tailbase,Stem2,4.366321844,2.3952581
m11b,,Kenya,Courtship,topflank,Leaf_B1,4.176546496,13.5962349
m11b,,Kenya,Courtship,topflank,Leaf_B2,3.33287545,14.9149422
m11b,,Kenya,Courtship,topflank,Leaf_T1,1.327948725,29.2500815
m11b,,Kenya,Courtship,topflank,Leaf_T2,2.923235697,30.3258903
m11b,,Kenya,Courtship,topflank,Stem1,4.089705271,24.16478
m11b,,Kenya,Courtship,topflank,Stem2,4.386998394,15.1951245
m13,130,Kenya,Courtship,gular,Leaf_B1,6.55911394,19.4521786
m13,130,Kenya,Courtship,gular,Leaf_B2,5.72503812,20.7708859
m13,130,Kenya,Courtship,gular,Leaf_T1,3.033597429,35.1060252
m13,130,Kenya,Courtship,gular,Leaf_T2,5.225910936,36.181834
m13,130,Kenya,Courtship,gular,Stem1,5.978513432,30.0207237
m13,130,Kenya,Courtship,gular,Stem2,6.141239572,21.0510682
m13,130,Kenya,Courtship,midflank,Leaf_B1,6.935078551,22.9278254
m13,130,Kenya,Courtship,midflank,Leaf_B2,6.072461242,24.2465328
m13,130,Kenya,Courtship,midflank,Leaf_T1,3.964829,38.581672
m13,130,Kenya,Courtship,midflank,Leaf_T2,5.726358771,39.6574808
m13,130,Kenya,Courtship,midflank,Stem1,6.126701,33.4963705
m13,130,Kenya,Courtship,midflank,Stem2,6.014178326,24.526715
m13,130,Kenya,Courtship,tailbase,Leaf_B1,1.33079786,7.2262432
m13,130,Kenya,Courtship,tailbase,Leaf_B2,1.319441724,8.5449506
