ID,Population,Colour,BodyRegion,Background,Background2,dS,dL
m101,Hawaii,courtship,botflank,Leaf_B1,own,0.652956202,19.1989177
m101,Hawaii,courtship,botflank,Leaf_B2,own,2.132857798,19.2926214
m101,Hawaii,courtship,botflank,Leaf_T1,own,4.677664872,41.1339574
m101,Hawaii,courtship,botflank,Leaf_T2,own,2.659748052,39.6113383
m101,Hawaii,courtship,botflank,Stem1,own,2.808957359,21.2350027
m101,Hawaii,courtship,botflank,Stem2,own,2.014351772,26.6597614
m101b,Hawaii,courtship,botflank,Leaf_B1,own,1.051427765,17.7738669
m101b,Hawaii,courtship,botflank,Leaf_B2,own,2.521368307,17.8675707
m101b,Hawaii,courtship,botflank,Leaf_T1,own,4.343986595,39.7089066
m101b,Hawaii,courtship,botflank,Leaf_T2,own,2.541292899,38.1862875
m101b,Hawaii,courtship,botflank,Stem1,own,3.174999988,19.809952
m101b,Hawaii,courtship,botflank,Stem2,own,2.45478455,25.2347106
m101c,Hawaii,courtship,botflank,Leaf_B1,own,1.125708139,12.4345888
m101c,Hawaii,courtship,botflank,Leaf_B2,own,0.751900381,12.5282925
m101c,Hawaii,courtship,botflank,Leaf_T1,own,5.822795245,34.3696284
m101c,Hawaii,courtship,botflank,Leaf_T2,own,3.157660719,32.8470093
m101c,Hawaii,courtship,botflank,Stem1,own,1.828611822,14.4706738
m101c,Hawaii,courtship,botflank,Stem2,own,0.96131167,19.8954324
m104,Hawaii,courtship,botflank,Leaf_B1,own,1.73066123,22.9585465
m104,Hawaii,courtship,botflank,Leaf_B2,own,2.133562258,23.0522502
m104,Hawaii,courtship,botflank,Leaf_T1,own,5.607326897,44.8935861
m104,Hawaii,courtship,botflank,Leaf_T2,own,3.447226125,43.370967
m104,Hawaii,courtship,botflank,Stem1,own,2.182931593,24.9946315
m104,Hawaii,courtship,botflank,Stem2,own,1.863207013,30.4193901
m21,Hawaii,courtship,botflank,Leaf_B1,own,3.576396614,32.0038044
m21,Hawaii,courtship,botflank,Leaf_B2,own,5.188644499,32.0975082
m21,Hawaii,courtship,botflank,Leaf_T1,own,2.47826258,53.9388441
m21,Hawaii,courtship,botflank,Leaf_T2,own,3.336498707,52.416225
m21,Hawaii,courtship,botflank,Stem1,own,5.908461791,34.0398895
m21,Hawaii,courtship,botflank,Stem2,own,5.189693997,39.4646481
m2bh,Hawaii,courtship,botflank,Leaf_B1,own,3.760094935,31.3235503
m2bh,Hawaii,courtship,botflank,Leaf_B2,own,5.359562,31.417254
m2bh,Hawaii,courtship,botflank,Leaf_T1,own,3.065785866,53.25859
m2bh,Hawaii,courtship,botflank,Leaf_T2,own,3.836235745,51.7359709
m2bh,Hawaii,courtship,botflank,Stem1,own,5.895707125,33.3596353
m2bh,Hawaii,courtship,botflank,Stem2,own,5.226019858,38.784394
m2d,Hawaii,courtship,botflank,Leaf_B1,own,2.604419165,21.3036917
m2d,Hawaii,courtship,botflank,Leaf_B2,own,1.617389026,21.3973954
m2d,Hawaii,courtship,botflank,Leaf_T1,own,7.348782407,43.2387313
m2d,Hawaii,courtship,botflank,Leaf_T2,own,4.727623584,41.7161122
m2d,Hawaii,courtship,botflank,Stem1,own,0.663868029,23.3397767
m2d,Hawaii,courtship,botflank,Stem2,own,0.764065021,28.7645353
m40,Hawaii,courtship,botflank,Leaf_B1,own,3.166698173,29.8948092
m40,Hawaii,courtship,botflank,Leaf_B2,own,4.821860887,29.9885129
m40,Hawaii,courtship,botflank,Leaf_T1,own,2.718205781,51.8298489
m40,Hawaii,courtship,botflank,Leaf_T2,own,3.195170018,50.3072298
m40,Hawaii,courtship,botflank,Stem1,own,5.5344996,31.9308942
m40,Hawaii,courtship,botflank,Stem2,own,4.771693858,37.3556529
m40c,Hawaii,courtship,botflank,Leaf_B1,own,2.760609819,37.0792183
m40c,Hawaii,courtship,botflank,Leaf_B2,own,4.190697335,37.172922
m40c,Hawaii,courtship,botflank,Leaf_T1,own,3.796044974,59.014258
m40c,Hawaii,courtship,botflank,Leaf_T2,own,3.314464929,57.4916389
m40c,Hawaii,courtship,botflank,Stem1,own,4.603754862,39.1153033
m40c,Hawaii,courtship,botflank,Stem2,own,4.03269419,44.540062
m40d,Hawaii,courtship,botflank,Leaf_B1,own,1.988124586,4.8422318
m40d,Hawaii,courtship,botflank,Leaf_B2,own,2.20373269,4.9359356
m40d,Hawaii,courtship,botflank,Leaf_T1,own,5.844533142,26.7772715
m40d,Hawaii,courtship,botflank,Leaf_T2,own,3.657115879,25.2546524
m40d,Hawaii,courtship,botflank,Stem1,own,2.104614871,6.8783169
m40d,Hawaii,courtship,botflank,Stem2,own,1.916607743,12.3030755
m44b,Hawaii,courtship,botflank,Leaf_B1,own,0.979042972,31.1342405
m44b,Hawaii,courtship,botflank,Leaf_B2,own,0.963492171,31.2279442
