ID,Population,BodyRegion,Colour1,Colour2,dS,dL
m101,Hawaii,botflank,display,subord,2.179525586,27.2382407
m101b,Hawaii,botflank,display,subord,4.51415852,28.7992061
m103,Hawaii,botflank,display,subord,5.292155646,10.0483384
m104c,Hawaii,botflank,display,subord,5.43829719,30.3487116
m2bh,Hawaii,botflank,display,subord,8.043184351,25.1501794
m2c,Hawaii,botflank,display,subord,5.469676792,35.5292404
m40c,Hawaii,botflank,display,subord,4.618090503,4.6102469
m40d,Hawaii,botflank,display,subord,1.342798393,22.2553359
m44b,Hawaii,botflank,display,subord,5.432485909,37.3528684
m67b,Hawaii,botflank,display,subord,0.473156512,5.4879844
m67d,Hawaii,botflank,display,subord,1.785774922,6.1891255
m69,Hawaii,botflank,display,subord,5.70452482,37.6667533
m73d,Hawaii,botflank,display,subord,4.690065175,17.0725414
m78,Hawaii,botflank,display,subord,2.294727653,25.4269319
m78b,Hawaii,botflank,display,subord,3.531037788,25.8555357
m79c,Hawaii,botflank,display,subord,4.693199491,42.5390254
m80b,Hawaii,botflank,display,subord,1.873236256,18.60126
m81,Hawaii,botflank,display,subord,3.590638775,25.6591591
m82c,Hawaii,botflank,display,subord,1.945959487,19.8710653
m83b,Hawaii,botflank,display,subord,1.892977216,32.1050535
m84b,Hawaii,botflank,display,subord,2.874672583,34.0125054
m85,Hawaii,botflank,display,subord,4.705256104,7.8565661
m9,Hawaii,botflank,display,subord,1.331861216,13.9433274
m91,Hawaii,botflank,display,subord,3.842428208,24.5517952
m91c,Hawaii,botflank,display,subord,4.049895369,36.6061295
m92d,Hawaii,botflank,display,subord,3.31112706,11.4519679
m99,Hawaii,botflank,display,subord,1.898439869,12.1439723
ms4,Hawaii,botflank,display,subord,2.248141104,17.6143898
ms5,Hawaii,botflank,display,subord,3.961842139,30.6986334
m108,Kenya,botflank,display,subord,8.563156603,40.5334895
m11b,Kenya,botflank,display,subord,10.36204121,45.191634
m13,Kenya,botflank,display,subord,7.649236701,30.610341
m17a,Kenya,botflank,display,subord,6.415480449,41.1542094
m17b,Kenya,botflank,display,subord,6.884068321,36.7313774
m18c,Kenya,botflank,display,subord,5.023817238,12.4161405
m19c,Kenya,botflank,display,subord,10.81313123,39.5211382
m201,Kenya,botflank,display,subord,4.367917596,32.1838615
m211,Kenya,botflank,display,subord,9.979064197,32.6332259
m22a,Kenya,botflank,display,subord,5.414942895,30.4747485
m23,Kenya,botflank,display,subord,6.68528915,36.2085179
m28a,Kenya,botflank,display,subord,5.214364052,36.7296191
m52,Kenya,botflank,display,subord,8.713203379,40.863633
m52,Kenya,botflank,display,subord,12.4689236,51.8637606
m52a,Kenya,botflank,display,subord,6.074861752,31.082657
m55c,Kenya,botflank,display,subord,7.612235656,36.7264177
m56c,Kenya,botflank,display,subord,9.861419881,36.9735078
m63a,Kenya,botflank,display,subord,6.845838919,31.8750822
m63b,Kenya,botflank,display,subord,7.540368936,30.4620617
m64,Kenya,botflank,display,subord,8.384208942,30.4636829
m64b,Kenya,botflank,display,subord,8.904405741,36.7603239
m72,Kenya,botflank,display,subord,7.955384783,47.0143988
m74a,Kenya,botflank,display,subord,6.176763293,29.405824
m74b,Kenya,botflank,display,subord,7.650155577,35.7107383
m7a,Kenya,botflank,display,subord,4.96464762,36.9903174
m7c,Kenya,botflank,display,subord,10.27497831,39.5919053
m8,Kenya,botflank,display,subord,5.47460759,29.7204718
m8a,Kenya,botflank,display,subord,7.352906363,46.6905037
m8c,Kenya,botflank,display,subord,6.508485174,30.4340699
m101,Hawaii,gular,display,subord,11.8923985,0.4917907
m101b,Hawaii,gular,display,subord,1.442710191,13.3021246
m103,Hawaii,gular,display,subord,8.580318818,21.4093441
m104c,Hawaii,gular,display,subord,7.315733464,43.7680113
m2bh,Hawaii,gular,display,subord,6.351181197,19.386339
m40c,Hawaii,gular,display,subord,0.540369581,0.6350749
m40d,Hawaii,gular,display,subord,3.205577446,1.4412108
m44b,Hawaii,gular,display,subord,6.408282993,4.5801838
m67b,Hawaii,gular,display,subord,1.161203804,22.7217941
m67d,Hawaii,gular,display,subord,2.783909074,30.7427599
m69,Hawaii,gular,display,subord,5.042553986,16.0538818
m73d,Hawaii,gular,display,subord,4.798817708,25.4394595
m78,Hawaii,gular,display,subord,3.077499688,14.3839526
m78b,Hawaii,gular,display,subord,6.857913561,0.4606659
m79c,Hawaii,gular,display,subord,2.118382361,4.9061722
m80b,Hawaii,gular,display,subord,1.800054165,14.0313261
m81,Hawaii,gular,display,subord,6.175994069,31.2491169
m82c,Hawaii,gular,display,subord,6.755155613,22.143351
m83b,Hawaii,gular,display,subord,2.300454031,12.7948348
m84b,Hawaii,gular,display,subord,9.292202486,24.9627243
