ID,Population,Colour,BodyRegion,Background,Background2,dS,dL
m101,Hawaii,display,botflank,Leaf_B1,own,0.729287111,31.2179301
m101,Hawaii,display,botflank,Leaf_B2,own,1.587169068,31.3116338
m101,Hawaii,display,botflank,Leaf_T1,own,5.227674101,53.1529697
m101,Hawaii,display,botflank,Leaf_T2,own,2.912982575,51.6303506
m101,Hawaii,display,botflank,Stem1,own,2.191831889,33.2540151
m101,Hawaii,display,botflank,Stem2,own,1.442642882,38.6787737
m101b,Hawaii,display,botflank,Leaf_B1,own,2.899608244,22.658443
m101b,Hawaii,display,botflank,Leaf_B2,own,4.318497612,22.7521467
m101b,Hawaii,display,botflank,Leaf_T1,own,3.463573972,44.5934827
m101b,Hawaii,display,botflank,Leaf_T2,own,3.106032561,43.0708636
m101b,Hawaii,display,botflank,Stem1,own,4.858488184,24.694528
m101b,Hawaii,display,botflank,Stem2,own,4.280595876,30.1192867
m101c,Hawaii,display,botflank,Leaf_B1,own,0.872948401,29.9267543
m101c,Hawaii,display,botflank,Leaf_B2,own,1.760302522,30.020458
m101c,Hawaii,display,botflank,Leaf_T1,own,5.205753646,51.8617939
m101c,Hawaii,display,botflank,Leaf_T2,own,2.929840347,50.3391748
m101c,Hawaii,display,botflank,Stem1,own,2.67681577,31.9628393
m101c,Hawaii,display,botflank,Stem2,own,1.723130212,37.3875979
m103,Hawaii,display,botflank,Leaf_B1,own,1.810772869,24.2673921
m103,Hawaii,display,botflank,Leaf_B2,own,3.473374591,24.3610959
m103,Hawaii,display,botflank,Leaf_T1,own,3.447278433,46.2024318
m103,Hawaii,display,botflank,Leaf_T2,own,2.459689922,44.6798127
m103,Hawaii,display,botflank,Stem1,own,4.349000031,26.3034772
m103,Hawaii,display,botflank,Stem2,own,3.478513346,31.7282358
m104c,Hawaii,display,botflank,Leaf_B1,own,0.934376354,35.0360127
m104c,Hawaii,display,botflank,Leaf_B2,own,1.540504479,35.1297164
m104c,Hawaii,display,botflank,Leaf_T1,own,5.57868989,56.9710524
m104c,Hawaii,display,botflank,Leaf_T2,own,3.283446675,55.4484333
m104c,Hawaii,display,botflank,Stem1,own,2.044998644,37.0720977
m104c,Hawaii,display,botflank,Stem2,own,1.129675071,42.4968564
m21,Hawaii,display,botflank,Leaf_B1,own,4.581118076,34.9803754
m21,Hawaii,display,botflank,Leaf_B2,own,6.221439035,35.0740792
m21,Hawaii,display,botflank,Leaf_T1,own,2.316132023,56.9154151
m21,Hawaii,display,botflank,Leaf_T2,own,4.140738635,55.392796
m21,Hawaii,display,botflank,Stem1,own,6.957351541,37.0164605
m21,Hawaii,display,botflank,Stem2,own,6.213616491,42.4412191
m2bh,Hawaii,display,botflank,Leaf_B1,own,5.6895544,28.0719076
m2bh,Hawaii,display,botflank,Leaf_B2,own,7.24404075,28.1656113
m2bh,Hawaii,display,botflank,Leaf_T1,own,3.988989305,50.0069472
m2bh,Hawaii,display,botflank,Leaf_T2,own,5.616210686,48.4843281
m2bh,Hawaii,display,botflank,Stem1,own,7.612903016,30.1079926
m2bh,Hawaii,display,botflank,Stem2,own,7.03402282,35.5327512
m2c,Hawaii,display,botflank,Leaf_B1,own,0.535745711,34.4110577
m2c,Hawaii,display,botflank,Leaf_B2,own,1.99346939,34.5047614
m2c,Hawaii,display,botflank,Leaf_T1,own,4.674780812,56.3460974
m2c,Hawaii,display,botflank,Leaf_T2,own,2.533593167,54.8234783
m2c,Hawaii,display,botflank,Stem1,own,2.760167358,36.4471427
m2c,Hawaii,display,botflank,Stem2,own,1.974494577,41.8719014
m40,Hawaii,display,botflank,Leaf_B1,own,1.779754636,35.8633003
m40,Hawaii,display,botflank,Leaf_B2,own,3.387611253,35.957004
m40,Hawaii,display,botflank,Leaf_T1,own,3.549886526,57.7983399
m40,Hawaii,display,botflank,Leaf_T2,own,2.476650355,56.2757208
m40,Hawaii,display,botflank,Stem1,own,4.105993925,37.8993853
m40,Hawaii,display,botflank,Stem2,own,3.360622472,43.3241439
m40c,Hawaii,display,botflank,Leaf_B1,own,5.259530294,30.9253425
m40c,Hawaii,display,botflank,Leaf_B2,own,6.820531101,31.0190462
m40c,Hawaii,display,botflank,Leaf_T1,own,3.071423398,52.8603821
m40c,Hawaii,display,botflank,Leaf_T2,own,4.856747784,51.337763
m40c,Hawaii,display,botflank,Stem1,own,7.394146017,32.9614275
m40c,Hawaii,display,botflank,Stem2,own,6.765006584,38.3861861
m40d,Hawaii,display,botflank,Leaf_B1,own,3.285985267,21.3922274
m40d,Hawaii,display,botflank,Leaf_B2,own,4.66096036,21.4859311
m40d,Hawaii,display,botflank,Leaf_T1,own,3.933382901,43.3272671
m40d,Hawaii,display,botflank,Leaf_T2,own,3.734923725,41.804648
m40d,Hawaii,display,botflank,Stem1,own,4.986071109,23.4283124
m40d,Hawaii,display,botflank,Stem2,own,4.476793353,28.8530711
m44b,Hawaii,display,botflank,Leaf_B1,own,1.024955803,33.2225595
m44b,Hawaii,display,botflank,Leaf_B2,own,2.489794313,33.3162632
m44b,Hawaii,display,botflank,Leaf_T1,own,4.391566234,55.1575992
m44b,Hawaii,display,botflank,Leaf_T2,own,2.516729139,53.6349801
m44b,Hawaii,display,botflank,Stem1,own,3.459532762,35.2586445
m44b,Hawaii,display,botflank,Stem2,own,2.524547203,40.6834032
m67b,Hawaii,display,botflank,Leaf_B1,own,3.266753559,31.5961353
m67b,Hawaii,display,botflank,Leaf_B2,own,2.223865751,31.689839
m67b,Hawaii,display,botflank,Leaf_T1,own,7.95548444,53.5311749
m67b,Hawaii,display,botflank,Leaf_T2,own,5.339628623,52.0085559
m67b,Hawaii,display,botflank,Stem1,own,0.556052552,33.6322203
m67b,Hawaii,display,botflank,Stem2,own,1.446708798,39.0569789
m67d,Hawaii,display,botflank,Leaf_B1,own,3.825153986,15.9297764
