ID,Predator,Population,BodyRegion,Background,dS,dL
m101,snake,Hawaii,botflank,Leaf_B1,1.370890794,5.6597212
m101,snake,Hawaii,botflank,Leaf_B2,0.249132803,5.2583628
m101,snake,Hawaii,botflank,Leaf_T1,2.593209098,24.9329357
m101,snake,Hawaii,botflank,Leaf_T2,0.887310388,23.022499
m101,snake,Hawaii,botflank,Stem1,0.756890567,9.957026
m101,snake,Hawaii,botflank,Stem2,0.403682835,14.3369775
m101,snake,Hawaii,gular,Leaf_B1,0.521495107,31.9558215
m101,snake,Hawaii,gular,Leaf_B2,1.851893701,31.554463
m101,snake,Hawaii,gular,Leaf_T1,1.773495902,51.2290359
m101,snake,Hawaii,gular,Leaf_T2,1.843821274,49.3185992
m101,snake,Hawaii,gular,Stem1,2.190485453,36.2531262
m101,snake,Hawaii,gular,Stem2,1.547628722,40.6330777
m101,snake,Hawaii,midflank,Leaf_B1,3.44100717,27.3999694
m101,snake,Hawaii,midflank,Leaf_B2,5.021486965,26.998611
m101,snake,Hawaii,midflank,Leaf_T1,2.377042781,46.6731839
m101,snake,Hawaii,midflank,Leaf_T2,4.40453803,44.7627471
m101,snake,Hawaii,midflank,Stem1,5.467230389,31.6972741
m101,snake,Hawaii,midflank,Stem2,4.830225776,36.0772257
m101,snake,Hawaii,tailbase,Leaf_B1,0.633926468,23.0041731
m101,snake,Hawaii,tailbase,Leaf_B2,1.585188239,22.6028147
m101,snake,Hawaii,tailbase,Leaf_T1,2.056199296,42.2773876
m101,snake,Hawaii,tailbase,Leaf_T2,1.759599921,40.3669508
m101,snake,Hawaii,tailbase,Stem1,1.880247819,27.3014778
m101,snake,Hawaii,tailbase,Stem2,1.248330202,31.6814294
m101b,snake,Hawaii,botflank,Leaf_B1,3.168345759,2.6849856
m101b,snake,Hawaii,botflank,Leaf_B2,1.574857682,2.2836272
m101b,snake,Hawaii,botflank,Leaf_T1,4.387170957,21.9582001
m101b,snake,Hawaii,botflank,Leaf_T2,2.416666591,20.0477634
m101b,snake,Hawaii,botflank,Stem1,1.165225716,6.9822904
m101b,snake,Hawaii,botflank,Stem2,1.809458294,11.3622419
m101b,snake,Hawaii,gular,Leaf_B1,3.314174138,17.7577845
m101b,snake,Hawaii,gular,Leaf_B2,1.712552792,17.3564261
m101b,snake,Hawaii,gular,Leaf_T1,4.47720567,37.030999
m101b,snake,Hawaii,gular,Leaf_T2,2.465436761,35.1205622
m101b,snake,Hawaii,gular,Stem1,1.353139187,22.0550892
m101b,snake,Hawaii,gular,Stem2,1.985059626,26.4350408
m101b,snake,Hawaii,midflank,Leaf_B1,0.909632313,21.8750145
m101b,snake,Hawaii,midflank,Leaf_B2,2.285708785,21.4736561
m101b,snake,Hawaii,midflank,Leaf_T1,0.585743938,41.148229
m101b,snake,Hawaii,midflank,Leaf_T2,1.607892636,39.2377923
m101b,snake,Hawaii,midflank,Stem1,2.773093274,26.1723193
m101b,snake,Hawaii,midflank,Stem2,2.180456485,30.5522708
m101b,snake,Hawaii,tailbase,Leaf_B1,1.569032157,28.0413554
m101b,snake,Hawaii,tailbase,Leaf_B2,0.921648786,27.639997
m101b,snake,Hawaii,tailbase,Leaf_T1,3.038095407,47.3145699
m101b,snake,Hawaii,tailbase,Leaf_T2,1.798986245,45.4041332
m101b,snake,Hawaii,tailbase,Stem1,0.882128782,32.3386602
m101b,snake,Hawaii,tailbase,Stem2,0.557958681,36.7186117
m101b,snake,Hawaii,topflank,Leaf_B1,2.105716808,1.1807915
m101b,snake,Hawaii,topflank,Leaf_B2,0.508637202,0.7794331
m101b,snake,Hawaii,topflank,Leaf_T1,3.339201528,20.4540059
m101b,snake,Hawaii,topflank,Leaf_T2,1.460335084,18.5435692
m101b,snake,Hawaii,topflank,Stem1,0.272906399,5.4780962
m101b,snake,Hawaii,topflank,Stem2,0.788070954,9.8580478
m101c,snake,Hawaii,botflank,Leaf_B1,0.606491985,19.0591374
m101c,snake,Hawaii,botflank,Leaf_B2,1.066024468,18.657779
m101c,snake,Hawaii,botflank,Leaf_T1,2.056430822,38.3323519
m101c,snake,Hawaii,botflank,Leaf_T2,1.226207856,36.4219152
m101c,snake,Hawaii,botflank,Stem1,1.442428177,23.3564422
m101c,snake,Hawaii,botflank,Stem2,0.796978463,27.7363937
m101c,snake,Hawaii,gular,Leaf_B1,0.705001676,21.2949482
m101c,snake,Hawaii,gular,Leaf_B2,0.984146931,20.8935897
m101c,snake,Hawaii,gular,Leaf_T1,2.149658985,40.5681626
m101c,snake,Hawaii,gular,Leaf_T2,1.226148372,38.6577259
m101c,snake,Hawaii,gular,Stem1,1.34787993,25.5922529
m101c,snake,Hawaii,gular,Stem2,0.701565406,29.9722044
m101c,snake,Hawaii,midflank,Leaf_B1,2.208555429,14.5086741
m101c,snake,Hawaii,midflank,Leaf_B2,3.80889165,14.1073157
m101c,snake,Hawaii,midflank,Leaf_T1,1.513338504,33.7818886
m101c,snake,Hawaii,midflank,Leaf_T2,3.324139771,31.8714518
m101c,snake,Hawaii,midflank,Stem1,4.229009676,18.8059788
m101c,snake,Hawaii,midflank,Stem2,3.584962892,23.1859304
m101c,snake,Hawaii,tailbase,Leaf_B1,2.440830919,21.1931009
m101c,snake,Hawaii,tailbase,Leaf_B2,3.751708191,20.7917425
m101c,snake,Hawaii,tailbase,Leaf_T1,2.876515093,40.4663153
m101c,snake,Hawaii,tailbase,Leaf_T2,3.805692974,38.5558786
m101c,snake,Hawaii,tailbase,Stem1,3.983101641,25.4904056
m101c,snake,Hawaii,tailbase,Stem2,3.39005541,29.8703572
