wavelength,U,S,M,L,D
300,0.056938484,0,0,0,0.001954173
305,0.113113095,0,0,0,0.010611492
310,0.168973257,0,0,0,0.050134581
315,0.223916978,0,0,0,0.103469232
320,0.278292144,0,0,0,0.135941448
325,0.332939943,0,0,0,0.157277988
330,0.388597543,0,0,0,0.175403302
335,0.445386668,0,0,0,0.191201952
340,0.502547379,0,0,0,0.206707378
345,0.558446355,0,0,0,0.222367384
350,0.610765276,0,0,0,0.236060681
355,0.656734433,0,0,0,0.24567937
360,0.693309516,0,0,0,0.250935545
365,0.717266945,0,0,0,0.253759569
370,0.725262863,0,0,0,0.255930973
375,0.713943687,0,0,0,0.25516173
380,0.680243164,0,0,0,0.251232293
385,0.622086315,0,0,0,0.244795048
390,0.539812431,0,0,0,0.236084861
395,0.438336378,8.79798E-06,0,0,0.225329797
400,0.328679234,0.000377278,0,0,0.213207384
405,0.225919296,0.004877395,0,0,0.200680972
410,0.142814365,0.02768353,0,0,0.188915158
415,0.084179113,0.089562237,0,0,0.179165172
420,0.04716413,0.197680562,0,0,0.172145074
425,0.025597787,0.336678258,0,0,0.167585333
430,0.013663891,0.480890985,0,0,0.16512839
435,0.007251092,0.60896821,0,0,0.164974195
440,0.003852586,0.709160171,0,0,0.167746876
445,0.002058521,0.7776354,0,0,0.174046242
450,0.001109167,0.815048569,0,0,0.184485081
455,0.000603749,0.823975418,0,0,0.199632338
460,0.000332046,0.807636837,0,0,0.219713978
465,0.000184551,0.769515482,0,0,0.244846918
470,0.00010392,0.7133772,0,0,0.275087723
475,5.91018E-05,0.643352595,0,0,0.310223502
480,3.39499E-05,0.563901001,0,0,0.349887292
485,1.98731E-05,0.479636496,5.3823E-06,0,0.393792945
490,1.15926E-05,0.395083107,0.000158571,0,0.441650335
495,6.93488E-06,0.314419358,0.001959156,0,0.492258455
500,4.14023E-06,0.241217852,0.012623141,0,0.544362424
505,2.48414E-06,0.178145931,0.049814911,0,0.597582862
510,1.55259E-06,0.126669754,0.135821107,0,0.65101885
515,1.03506E-06,0.086905349,0.280090348,0,0.70350839
520,5.17528E-07,0.05777098,0.467445078,0,0.75397207
525,5.17528E-07,0.037419069,0.663888643,0,0.801675983
530,1.03506E-07,0.023761389,0.832785098,0,0.846521043
535,0,0.014881428,0.948263506,0,0.887136419
540,0,0.009240057,1,1.03506E-07,0.922403397
545,0,0.00571279,0.991050483,7.45241E-06,0.952320724
550,0,0.003528613,0.932783815,0.000158881,0.975950378
555,0,0.002182728,0.839955559,0.001614171,0.992093713
560,0,0.001354786,0.727241581,0.009303092,1
565,0,0.000844813,0.607345344,0.034731647,0.998575648
570,0,0.000529639,0.490240034,0.09299076,0.986581901
575,0,0.000334013,0.383036389,0.192996722,0.965171246
580,0,0.000212083,0.290124915,0.329426338,0.93601789
585,0,0.000135592,0.213456382,0.483641235,0.898443935
590,0,8.71518E-05,0.152965687,0.631700338,0.850962216
595,0,5.64106E-05,0.107133778,0.752899402,0.794574814
600,0,3.69515E-05,0.073621118,0.834552458,0.731437495
605,0,2.41168E-05,0.049840477,0.872636447,0.663661606
610,0,1.59399E-05,0.03337003,0.869919009,0.593434193
615,0,1.05576E-05,0.022174232,0.833298279,0.523060222
620,0,7.2454E-06,0.014667378,0.771419779,0.453700742
625,0,4.86477E-06,0.009681612,0.692984405,0.387331153
630,0,3.20868E-06,0.00638951,0.605771229,0.325423586
635,0,2.27713E-06,0.004222618,0.516205266,0.268700622
640,0,1.55259E-06,0.002797552,0.429272694,0.217747856
645,0,1.03506E-06,0.001859687,0.34860346,0.173142847
650,0,7.2454E-07,0.001241033,0.27660645,0.135095122
655,0,5.17528E-07,0.000831979,0.214607883,0.10341072
660,0,5.17528E-07,0.00056038,0.162993629,0.077629543
665,0,2.07011E-07,0.000379245,0.121378853,0.057252672
670,0,0,0.00025804,0.088813373,0.041589014
675,0,0,0.000176477,0.0640102,0.02980824
680,0,0,0.000121309,0.045563415,0.021124155
685,0,0,8.38396E-05,0.032117404,0.01483875
690,0,0,5.80667E-05,0.022430616,0.010356809
695,0,0,4.01602E-05,0.015448432,0.007197937
700,0,0,3.20868E-05,0.012331669,0.005748915
