wavelength,U,S,M,L,D
300,0,0,0,0,0
305,0,0,0,0,0
310,0,0,0,0,0
315,0,0,0,0,0
320,0.004894055,0,0,0,0
325,0.018472392,1.31E-217,0,0,0.001460908
330,0.06849656,8.42E-133,0,0,0.014874223
335,0.138547171,2.21E-81,0,0,0.026416002
340,0.231047115,3.86E-50,0,0,0.039072378
345,0.340820357,3.91E-31,0,0,0.060175868
350,0.49426789,1.59E-19,0,0,0.067608183
355,0.606409464,1.80E-12,0,0,0.076291254
360,0.696109858,3.67E-08,0,0,0.080805737
365,0.770596489,1.63E-05,0,0,0.083361012
370,0.823920831,0.000701413,0,0,0.083697559
375,0.864177922,0.007367966,0,0,0.081534314
380,0.887984922,0.032716714,0,0,0.077471911
385,0.89205139,0.085685972,0,0,0.076281101
390,0.873564494,0.16199512,0,0,0.074303197
395,0.830775771,0.249903294,0,0,0.068766245
400,0.76368554,0.338871336,0,0,0.059128974
405,0.674655916,0.422602585,0,0,0.052556922
410,0.568809577,0.498212266,0,0,0.051595209
415,0.454086807,0.564606577,0,0,0.049076512
420,0.340624819,0.621312086,0,3.69E-263,0.041021376
425,0.238895736,0.667861931,0,2.44E-160,0.039641689
430,0.156713361,0.703554232,9.37E-195,5.49E-98,0.07967749
435,0.096826386,0.727427768,1.68E-118,3.52E-60,0.088488615
440,0.057028842,0.738378904,3.14E-72,2.93E-37,0.092293483
445,0.03246701,0.735391779,3.81E-44,2.29E-23,0.089542556
450,0.018097758,0.717858105,4.28E-27,6.01E-15,0.083928015
455,0.009980032,0.685930263,9.74E-17,7.59E-10,0.081177479
460,0.005485914,0.640804187,1.92E-10,9.39E-07,0.084436114
465,0.003021578,0.584806726,1.30E-06,7.10E-05,0.089842104
470,0.00167329,0.521204696,0.000278896,0.000994677,0.095923791
475,0.000933689,0.453760113,0.007374539,0.005062159,0.102666678
480,0.000525656,0.386170674,0.054471886,0.014065946,0.111915909
485,0.000298813,0.321579642,0.184782575,0.027272091,0.123517373
490,0.00017158,0.262287491,0.389058652,0.042728378,0.137781989
495,9.95E-05,0.209693225,0.610097284,0.059013936,0.154864252
500,5.83E-05,0.164405899,0.795464854,0.075616137,0.175644096
505,3.45E-05,0.12643458,0.921420252,0.092591253,0.199638682
510,2.07E-05,0.095380903,0.986630579,0.110205123,0.226733194
515,1.25E-05,0.070594798,1.000000188,0.128730988,0.257914701
520,7.60E-06,0.051286831,0.97302909,0.148366069,0.292488267
525,4.68E-06,0.036608424,0.916684617,0.169207812,0.330006914
530,2.91E-06,0.025713547,0.840558668,0.19125455,0.370147425
535,1.82E-06,0.017808724,0.752783007,0.21441474,0.413907163
540,1.15E-06,0.012190811,0.660063465,0.238518783,0.460101937
545,7.34E-07,0.008269328,0.567693699,0.263331395,0.507330268
550,4.71E-07,0.005572393,0.479588802,0.288563781,0.555903946
555,3.05E-07,0.003739089,0.398389751,0.31388502,0.605026968
560,1.99E-07,0.002503477,0.325644908,0.338932072,0.652029931
565,1.31E-07,0.001675485,0.262036891,0.363317816,0.700217536
570,8.69E-08,0.001122501,0.207611799,0.386636744,0.744561113
575,5.80E-08,0.000753678,0.161978023,0.408468325,0.788125759
580,3.90E-08,0.00050761,0.124460495,0.428378633,0.827696988
585,2.64E-08,0.00034318,0.094212803,0.445921407,0.861764452
590,1.80E-08,0.000233015,0.070298547,0.460640386,0.88989953
595,1.23E-08,0.000158956,0.051754201,0.472075203,0.911369439
600,8.51E-09,0.000108973,0.037641007,0.479773331,0.926453922
605,5.91E-09,7.51E-05,0.027087535,0.48331027,0.932906626
610,4.13E-09,5.20E-05,0.019320868,0.482319054,0.932553525
615,2.90E-09,3.62E-05,0.013684224,0.476528244,0.919305449
620,2.05E-09,2.54E-05,0.009641035,0.465804791,0.896851833
625,1.46E-09,1.78E-05,0.006768016,0.450195113,0.867184041
630,1.04E-09,1.26E-05,0.004741165,0.429955498,0.82669313
635,7.48E-10,8.98E-06,0.003318659,0.405562635,0.780882348
640,5.40E-10,6.42E-06,0.002323673,0.377697812,0.727388703
645,3.92E-10,4.61E-06,0.001628998,0.347203738,0.668045916
650,2.86E-10,3.33E-06,0.001144256,0.315019705,0.605226008
655,2.10E-10,2.42E-06,0.000805824,0.282106324,0.542290861
660,1.54E-10,1.76E-06,0.000569211,0.249373227,0.480887888
665,1.14E-10,1.29E-06,0.000403439,0.217621259,0.419339657
670,8.48E-11,9.49E-07,0.000286993,0.187505715,0.360226597
675,6.33E-11,7.02E-07,0.000204945,0.159521373,0.306726861
680,4.75E-11,5.21E-07,0.00014694,0.134005428,0.257176768
685,3.58E-11,3.88E-07,0.000105783,0.111152116,0.213745672
690,2.70E-11,2.91E-07,7.65E-05,0.09103285,0.174444155
695,2.05E-11,2.19E-07,5.55E-05,0.073617361,0.141314988
700,1.56E-11,1.65E-07,4.05E-05,0.058793568,0.113121774
