wavelength,U,M,L
300,0.562998573,0.123846531,0.054533472
305,0.625648047,0.141730596,0.062246352
310,0.678531357,0.159448237,0.07034724
315,0.72286316,0.176356501,0.078716478
320,0.761449986,0.191793314,0.087211494
325,0.797644687,0.205126587,0.095670216
330,0.834201363,0.215806252,0.103915915
335,0.872367927,0.223414137,0.111763393
340,0.911413717,0.227706487,0.119026228
345,0.948610381,0.228644529,0.125524784
350,0.979556066,0.226409707,0.131094551
355,0.998702663,0.221401913,0.13559437
360,1.000000263,0.214220935,0.138914071
365,0.977653093,0.205633104,0.140981076
370,0.927024623,0.196526537,0.141765589
375,0.845728971,0.187859182,0.141284076
380,0.734957286,0.18060399,0.139600856
385,0.601029838,0.175695105,0.13682778
390,0.456514727,0.173978095,0.133122058
395,0.318803322,0.176166226,0.12868246
400,0.204286606,0.182803973,0.123744173
405,0.121202326,0.194238512,0.118572683
410,0.067742355,0.210599897,0.113457034
415,0.036379668,0.23179095,0.108702803
420,0.019099482,0.257488045,0.104625074
425,0.009930608,0.287153736,0.101541534
430,0.005158724,0.320061085,0.099765762
435,0.002692525,0.355327761,0.099600564
440,0.001416831,0.391955894,0.101331188
445,0.000753166,0.428872092,0.105218116
450,0.000404913,0.464961681,0.111489193
455,0.000220278,0.499092679,0.12033093
460,0.000121286,0.530128174,0.13187904
465,6.76E-05,0.556930181,0.146208556
470,3.81E-05,0.578362995,0.163324207
475,2.17E-05,0.593308264,0.183152055
480,1.26E-05,0.600706089,0.205533542
485,7.33E-06,0.599634125,0.230223103
490,4.32E-06,0.589427587,0.256890122
495,2.58E-06,0.569826448,0.285125478
500,1.55E-06,0.541115319,0.314452124
505,9.45E-07,0.504206223,0.344338383
510,5.81E-07,0.460617689,0.3742121
515,3.60E-07,0.412332274,0.403473615
520,2.25E-07,0.361559847,0.431505851
525,1.42E-07,0.310472085,0.457680622
530,9.07E-08,0.26098175,0.481361529
535,5.83E-08,0.214614349,0.501905202
540,3.77E-08,0.172476521,0.518664146
545,2.46E-08,0.13528896,0.530995578
550,1.62E-08,0.103438234,0.538281122
555,1.08E-08,0.077014448,0.539961471
560,7.18E-09,0.055830802,0.535587563
565,4.83E-09,0.039447296,0.524885173
570,3.27E-09,0.027224478,0.507823605
575,2.23E-09,0.018411789,0.484673102
580,1.53E-09,0.012248613,0.45603273
585,1.06E-09,0.008047556,0.422813701
590,7.36E-10,0.005241657,0.38617331
595,5.15E-10,0.003395852,0.347408977
600,3.62E-10,0.002194393,0.307834433
605,2.56E-10,0.001417539,0.268665019
610,1.82E-10,0.000916985,0.230934298
615,1.31E-10,0.000594789,0.195452375
620,9.40E-11,0.000387218,0.162803136
625,6.80E-11,0.000253187,0.133367897
630,4.94E-11,0.000166354,0.107359355
635,3.61E-11,0.000109869,0.084852042
640,2.65E-11,7.30E-05,0.065802224
645,1.96E-11,4.87E-05,0.050058526
650,1.45E-11,3.27E-05,0.037370876
655,1.08E-11,2.21E-05,0.027406475
660,8.09E-12,1.50E-05,0.019776781
665,6.08E-12,1.02E-05,0.014072379
670,4.58E-12,7.03E-06,0.009897777
675,3.47E-12,4.85E-06,0.006898368
680,2.64E-12,3.37E-06,0.004775628
685,2.02E-12,2.35E-06,0.003291026
690,1.55E-12,1.65E-06,0.002261869
695,1.19E-12,1.16E-06,0.001552839
700,9.21E-13,8.22E-07,0.001066277
