wavelength,leafb1,leafb2,leafb3,leafb4,leafb5,leafb6,leafb7,leafb8,leafb9,leafb10,leafb11,leafb12,leafb13,leafb14,leafb15,leafb16,leafb17,leafb18,leafb19,leafb20,leafb21,leafb22,leafb23,leafb25,leafb26,leafb27,leafb28,leafb29,leafb30,leafb31,leafb32,leafb33,leafb34,leafb35,leafb36,leafb37,leafb38,leafb39,leafb40,leaft1,leaft2,leaft3,leaft4,leaft5,leaft6,leaft7,leaft8,leaft9,leaft10,leaft11,leaft12,leaft13,leaft14,leaft15,leaft16,leaft17,leaft18,leaft19,leaft20,leaft21,leaft22,leaft23,leaft24,leaft25,leaft26,leaft27,leaft28,leaft29,leaft30,leaft31,leaft32,leaft33,leaft34,leaft35,leaft36,leaft37,leaft38,leaft39,leaft40,stem1,stem2,stem3,stem4,stem5,stem6,stem7,stem8,stem9,stem10,stem11,stem12,stem13,stem14,stem15,stem16,stem17,stem18,stem19,stem20,stem21,stem22,stem23,stem24,stem25,stem26,stem29,stem30,stem31,stem32,stem33,stem34,stem35,stem36,stem37,stem38,stem39,stem40
300,1.5575,0.508038462,2.189423077,0.908192308,-0.108846154,-0.477461538,0.242038462,0.002038462,-1.635923077,-1.366769231,-0.029807692,0.227769231,3.867846154,2.635076923,3.930961538,-0.199884615,-0.657038462,2.019538462,6.668153846,6.288,0.884192308,0.230961538,1.351576923,0.671153846,4.328076923,3.658192308,5.480423077,-0.289730769,2.328076923,0.705076923,1.241807692,2.652846154,1.101846154,1.395461538,0.245423077,3.250923077,2.100846154,3.275730769,2.775,-0.882192308,-0.901615385,0.675230769,1.245384615,1.547807692,2.237807692,0.7825,1.697769231,0.519923077,0.685346154,-0.643730769,-0.256538462,2.257423077,1.244230769,1.678653846,2.479576923,1.740115385,1.131307692,3.260807692,3.027653846,2.861807692,2.411153846,3.739730769,0.618384615,1.625076923,0.622807692,2.738307692,1.737653846,2.079846154,2.401961538,2.7445,2.294884615,4.773884615,5.086538462,1.418653846,1.914423077,1.746153846,1.432115385,1.447346154,0.912307692,-0.680307692,-0.587538462,2.033615385,4.811,2.777807692,3.418769231,1.452692308,3.1605,0.649538462,-0.558,-0.082038462,-0.152653846,2.072346154,1.619192308,1.547384615,5.882192308,3.657423077,0.395,1.201961538,1.042807692,3.621423077,1.005307692,2.355807692,1.771115385,4.0155,5.182461538,1.239346154,3.078192308,3.880269231,3.942,4.391230769,0.508384615,1.721576923,1.592153846,3.659076923,5.295769231,1.653769231,1.471346154
305,0.906333333,0.221555556,1.54262963,0.083962963,-0.512481481,-1.084481481,-0.111777778,-0.34737037,-2.424185185,-1.896666667,-0.146074074,0.023962963,3.678740741,2.819814815,3.675555556,-0.226703704,-1.095555556,1.560666667,6.264259259,5.457,1.052962963,-0.230518519,1.109296296,0.654259259,3.657814815,3.761925926,4.969814815,-0.184074074,1.966037037,0.714777778,1.085518519,2.727888889,0.888962963,0.93537037,0.295,2.931222222,2.51837037,3.141851852,2.037962963,-1.310666667,-1.962222222,0.590740741,0.436259259,1.198407407,1.570185185,0.016037037,1.284518519,-0.128185185,0.037185185,-0.654592593,0.108555556,2.325148148,1.178407407,1.138222222,2.019555556,1.873148148,0.793481481,3.010703704,3.021851852,2.738925926,2.21062963,3.339925926,0.804296296,1.703222222,0.899333333,2.682666667,1.547777778,1.615407407,2.212740741,2.200962963,2.333111111,4.729333333,5.223074074,1.333074074,1.949481481,1.747222222,0.914851852,1.522222222,0.45237037,-0.665518519,-1.147777778,1.534,4.458777778,2.266111111,3.199148148,1.233703704,2.18237037,0.477703704,-1.323925926,-0.418703704,-0.206740741,2.129037037,1.414814815,1.544740741,5.452444444,3.630481481,0.311777778,0.696481481,0.755148148,3.599777778,0.839148148,2.046703704,1.826740741,3.501148148,5.263259259,1.214666667,3.442925926,3.52137037,3.632111111,3.934925926,0.346259259,1.313333333,1.139925926,3.754666667,5.424074074,1.269296296,1.608148148
310,0.348925926,0.31437037,1.208925926,0.303740741,-0.745666667,-1.115037037,0.331592593,-0.395111111,-2.25237037,-1.621740741,0.057111111,-0.425333333,3.534185185,3.064666667,3.979037037,-0.165555556,-0.831407407,1.610222222,5.961481481,5.04562963,1.681740741,0.337555556,0.92262963,0.774518519,3.836814815,4.333111111,5.30262963,0.213814815,2.359814815,1.158518519,1.735851852,2.860777778,1.471074074,1.522851852,1.004555556,3.015481481,2.654814815,3.32037037,1.651333333,-1.732666667,-1.765259259,0.43262963,0.199851852,1.378888889,1.526481481,-0.206037037,1.428962963,0.293962963,-0.036888889,-0.892481481,-0.730518519,2.367666667,1.052111111,0.81962963,1.784037037,1.805148148,0.575814815,2.977444444,2.862222222,2.837518519,1.970814815,3.866185185,1.145518519,2.094555556,1.27537037,2.819703704,2.049851852,1.776222222,2.834148148,2.214555556,2.980222222,4.806296296,5.492148148,2.016740741,1.963148148,2.085851852,0.984259259,1.515962963,1.286666667,-0.530962963,-1.044703704,1.707444444,4.559222222,1.868444444,3.400481481,1.745592593,2.095222222,0.36262963,-0.897,-0.722259259,0.094777778,1.881111111,1.648962963,1.51862963,5.025666667,3.501777778,0.300481481,0.790925926,0.852407407,3.852703704,0.775444444,2.49462963,1.621481481,3.89862963,5.667703704,1.493555556,3.680777778,3.956074074,3.574481481,4.326814815,1.267333333,1.838296296,1.495333333,3.918222222,5.918703704,1.550444444,2.951740741
315,0.364037037,0.76,1.252185185,0.684481481,-0.928074074,-0.728666667,0.357777778,0.035296296,-1.804222222,-1.09037037,0.069185185,-0.487444444,3.030074074,2.784777778,3.394074074,0.154777778,-0.556518519,1.692259259,5.685777778,5.078444444,1.553148148,0.618444444,0.687777778,0.735148148,4.028518519,3.712851852,5.808777778,0.183592593,2.490666667,1.111666667,1.723333333,2.575777778,1.608851852,2.079592593,1.042777778,3.02862963,2.084407407,3.493888889,1.65162963,-1.87,-1.241518519,0.101222222,0.463851852,1.51437037,1.91837037,0.028555556,1.640962963,0.783814815,0.134925926,-1.181777778,-1.133444444,2.00062963,1.067666667,1.103259259,1.680925926,1.378222222,0.622111111,3.018407407,2.831,2.965777778,1.710074074,4.121740741,1.039185185,2.213481481,0.817518519,2.564111111,1.709962963,1.883296296,3.04237037,2.073666667,2.934888889,4.50237037,5.104851852,1.935777778,1.421111111,2.173259259,1.207666667,1.191148148,1.513148148,-0.487814815,-0.520074074,2.119962963,4.876666667,1.880555556,3.235185185,1.902444444,2.973296296,0.615407407,-0.355111111,-0.883518519,0.007555556,1.462851852,1.677888889,1.373407407,4.716777778,2.774962963,-0.016814815,0.801814815,0.79462963,3.394074074,0.435,2.575740741,1.715851852,3.967703704,5.406148148,1.450777778,2.885925926,4.180518519,3.089185185,4.773148148,1.602296296,1.494555556,1.585444444,3.573296296,5.863074074,1.787296296,2.977481481
320,0.175666667,0.927703704,1.121444444,0.593888889,-1.19937037,-0.449740741,0.11337037,0.153925926,-2.023962963,-1.386962963,0.121481481,-0.131555556,2.96937037,2.945925926,3.342740741,-0.028185185,0.142851852,1.947925926,5.26937037,4.935962963,0.994962963,0.065259259,0.514592593,0.888222222,3.624703704,3.081037037,5.922962963,-0.204037037,1.692296296,0.824407407,1.259111111,2.057222222,1.093851852,1.580925926,0.506962963,2.542703704,1.891740741,3.447222222,1.548296296,-1.905814815,-1.648037037,-0.446333333,0.477259259,0.726259259,1.851222222,-0.078962963,1.159481481,0.548148148,-0.535296296,-1.017296296,-0.142407407,2.162259259,1.170740741,1.258407407,2.04537037,1.187740741,0.731666667,3.082888889,2.624037037,2.790481481,1.709888889,3.622703704,0.583592593,1.973666667,-0.134296296,1.903592593,1.204259259,1.794555556,2.275444444,1.804851852,2.273666667,4.111148148,4.182444444,1.366,0.995444444,1.556111111,1.128,0.773444444,1.055259259,-0.32737037,-0.853296296,1.88262963,4.663888889,1.997111111,2.810148148,1.382740741,2.76262963,0.291407407,-0.92962963,-0.77062963,-0.002407407,1.37362963,1.312777778,1.49,4.717740741,2.827481481,0.198444444,0.479962963,0.537074074,2.569333333,0.284777778,1.960555556,1.991333333,3.358925926,5.257777778,1.563111111,2.831148148,4.074518519,3.074555556,4.311518519,0.777296296,0.944185185,1.157111111,2.914962963,5.235518519,1.655259259,2.087222222
325,0.750592593,0.991888889,1.371962963,0.807666667,-0.480296296,0.012333333,0.965074074,0.430888889,-1.630333333,-1.460148148,0.353148148,-0.244111111,3.397851852,3.000666667,3.514296296,-0.02537037,0.239814815,1.216074074,4.957111111,5.179851852,0.809037037,0.184407407,0.437407407,1.101074074,3.336259259,3.076074074,5.586407407,-0.44337037,1.617259259,0.744037037,1.217222222,1.968148148,0.848962963,0.598888889,-0.240740741,2.513074074,2.339518519,3.650925926,1.753333333,-1.339481481,-1.191,0.287851852,0.870962963,0.839,2.612925926,0.279555556,1.490148148,0.936259259,-0.073851852,-0.391074074,0.074666667,2.130481481,0.912518519,0.991222222,1.995111111,1.200296296,0.969666667,3.050259259,2.314037037,2.838962963,1.650703704,3.603,0.239185185,1.770444444,-0.168814815,1.808888889,1.325074074,1.626851852,1.862814815,1.840407407,2.009666667,3.752481481,3.804222222,1.215,0.469740741,1.804851852,1.210037037,0.807962963,1.121333333,0.089111111,-0.520592593,1.669777778,4.643074074,2.228703704,3.322444444,1.567444444,2.841555556,0.216407407,-0.790666667,-0.499592593,-0.082333333,1.23562963,1.196703704,1.523148148,4.743148148,3.496111111,0.25737037,0.530592593,0.064444444,2.734518519,0.427259259,1.630888889,1.76437037,3.527,5.626444444,1.455851852,3.378259259,4.071703704,3.525222222,3.970777778,0.327296296,1.205962963,1.186222222,3.400333333,5.378407407,1.641111111,2.115333333
330,1.277333333,0.682074074,1.523888889,0.689814815,-0.100814815,-0.018666667,1.278925926,0.312,-1.346148148,-1.177481481,0.218777778,-0.430148148,3.733518519,2.945962963,3.527185185,0.05262963,-0.342296296,0.51662963,4.807407407,4.844925926,0.597037037,0.317888889,0.637148148,0.721333333,3.241407407,3.076888889,5.373592593,-0.478,1.856851852,0.69962963,1.033481481,2.015703704,0.929185185,0.237111111,-0.327185185,2.552333333,2.267407407,3.354037037,1.487777778,-1.159074074,-1.001703704,0.86,0.836,1.414481481,3.045666667,0.702,1.914925926,0.973296296,0.585703704,-0.205518519,-0.525888889,1.796296296,0.83637037,0.697222222,1.602,0.649888889,0.541407407,2.609407407,2.260148148,2.688333333,1.386259259,3.547925926,0.152962963,1.259592593,-0.042888889,2.26437037,1.131555556,1.321296296,1.833444444,1.856222222,2.393222222,3.867074074,4.014888889,1.176518519,0.769037037,2.042814815,0.668222222,0.573518519,1.001111111,0.332296296,-0.242,1.820518519,4.571814815,2.386111111,3.457444444,1.947851852,2.838925926,0.561185185,-0.297592593,-0.563148148,-0.260555556,0.872851852,1.31662963,1.536703704,4.83537037,3.429814815,0.216444444,0.673555556,0.015074074,2.952333333,0.247444444,1.261111111,1.075814815,3.806,5.609148148,1.333888889,3.396814815,3.509925926,3.270740741,3.675407407,0.463925926,1.287111111,1.262333333,3.629148148,5.318518519,1.548074074,2.123555556
335,1.117678571,0.665071429,1.562178571,0.473321429,-0.176392857,0.026178571,0.966285714,0.403142857,-1.266214286,-0.950535714,0.313035714,0.101571429,4.331964286,3.399678571,4.4535,-0.109571429,-0.449107143,1.006035714,5.115571429,4.646821429,0.633571429,-0.122071429,0.670714286,0.582464286,3.142857143,3.266857143,5.537892857,-0.710142857,1.827392857,0.788107143,0.775964286,2.004607143,0.910464286,0.495071429,0.14025,2.682178571,1.840678571,2.836464286,1.281035714,-1.075178571,-1.149892857,0.715,0.595357143,1.467285714,2.880107143,0.822285714,2.015821429,0.626928571,0.556821429,-0.289392857,-0.4435,2.241535714,1.122571429,1.121,1.971785714,0.67625,0.517571429,2.688178571,2.428714286,2.249464286,1.481035714,3.418071429,0.52125,0.895392857,-0.237714286,2.445178571,1.056178571,1.284392857,1.598285714,1.744178571,3.000392857,4.02825,3.86225,1.0555,1.414214286,1.556642857,0.236642857,0.479892857,0.653178571,0.44675,-0.439,2.075,4.552714286,2.845714286,3.342928571,2.043964286,2.673821429,0.7405,0.031714286,-0.188857143,-0.178464286,1.475107143,1.706392857,1.759071429,5.267964286,3.627714286,0.850142857,0.8755,0.245,2.66325,0.139357143,1.208964286,0.686142857,3.765857143,5.043035714,1.619607143,2.947464286,3.162785714,3.113392857,3.69875,0.692107143,1.245535714,1.048214286,3.174321429,5.381321429,1.592607143,1.984857143
340,0.795148148,0.555259259,1.616259259,0.251111111,-0.277074074,0.101925926,0.873407407,0.378333333,-1.326740741,-0.820962963,0.533703704,0.323666667,4.997259259,3.999555556,5.233111111,-0.094481481,-0.289296296,1.150703704,5.34362963,4.73062963,0.958592593,0.234666667,0.602888889,0.759148148,2.918740741,3.565888889,5.525888889,-0.477592593,1.979740741,0.904555556,0.857851852,2.408148148,0.928851852,1.022555556,0.488777778,2.852518519,1.944185185,2.700259259,1.489074074,-1.055222222,-1.242444444,0.335703704,0.318814815,1.399111111,2.561666667,0.542296296,1.975296296,0.303925926,0.298962963,-0.77537037,0.071111111,2.470592593,1.143037037,1.187037037,1.813074074,1.21137037,0.802777778,2.736703704,2.52237037,2.240666667,1.207592593,3.465518519,0.989555556,1.170296296,-0.084851852,2.505481481,1.400259259,1.436185185,1.66537037,2.071592593,2.827037037,3.844962963,3.866962963,1.216851852,1.612333333,1.290444444,0.554,0.846703704,0.614259259,0.163444444,-0.44637037,1.892111111,4.426777778,2.788962963,3.212962963,1.526666667,2.957333333,0.507333333,-0.16237037,0.035592593,0.004185185,1.779148148,1.95062963,1.898148148,5.566814815,3.810148148,1.158851852,0.956481481,0.33062963,2.907518519,0.317,1.435777778,0.990814815,4.273851852,5.054111111,2.025148148,2.812851852,3.360222222,3.563962963,4.165962963,0.896037037,1.352481481,1.052037037,3.20362963,6.017074074,1.724740741,2.320777778
345,0.872888889,0.796666667,1.518185185,0.486259259,-0.382962963,0.051407407,1.11662963,-0.034074074,-1.553592593,-0.903074074,0.408444444,0.216888889,5.626074074,4.299703704,5.485037037,-0.195481481,-0.265296296,0.911037037,5.320703704,4.502888889,0.992555556,0.29962963,0.625444444,0.388851852,2.647555556,3.46537037,5.041962963,-0.368481481,1.784481481,0.739740741,0.79762963,2.426333333,0.958703704,1.201703704,0.461592593,2.674481481,1.686555556,2.45962963,1.363037037,-1.306777778,-1.257407407,0.396777778,0.176222222,1.320925926,2.23762963,0.541111111,1.646148148,0.102518519,-0.037481481,-0.773296296,-0.047296296,2.115148148,0.926814815,0.955962963,1.345740741,1.11562963,0.76637037,2.451962963,2.443296296,2.128925926,0.881259259,3.032148148,0.500037037,1.135444444,-0.312148148,2.091481481,1.300814815,1.234148148,1.646185185,2.086148148,2.025333333,3.494111111,3.795962963,1.369185185,1.274962963,0.912,0.573259259,0.715814815,0.490111111,0.142222222,-0.444814815,1.733592593,4.283925926,2.669296296,2.852444444,1.208777778,3.018962963,0.366814815,-0.43,-0.175148148,-0.168925926,1.38962963,1.68462963,1.607259259,5.365148148,3.507444444,0.724407407,0.631592593,-0.054407407,2.96437037,0.160296296,1.525407407,0.852518519,4.278407407,5.156555556,2.019814815,2.715740741,3.284814815,3.192925926,3.837740741,0.637814815,1.284148148,0.863888889,3.003185185,5.932925926,1.353074074,2.467518519
