wavelength,leafb1,leafb2,leafb3,leafb4,leafb5,leafb6,leafb7,leafb8,leafb9,leafb10,leafb11,leafb12,leafb13,leafb14,leafb15,leafb16,leafb17,leafb18,leafb19,leafb20,leafb21,leafb22,leafb23,leafb24,leafb25,leafb26,leafb27,leafb28,leafb29,leafb30,leafb31,leafb32,leafb33,leafb34,leafb35,leafb36,leafb37,leafb38,leafb39,leafb40,leaft1,leaft2,leaft3,leaft4,leaft5,leaft6,leaft7,leaft8,leaft9,leaft10,leaft11,leaft12,leaft13,leaft14,leaft15,leaft16,leaft17,leaft18,leaft19,leaft20,leaft21,leaft22,leaft23,leaft24,leaft25,leaft26,leaft27,leaft28,leaft29,leaft30,leaft31,leaft32,leaft33,leaft34,leaft35,leaft36,leaft37,leaft38,leaft39,leaft40,stem1,stem2,stem3,stem4,stem5,stem6,stem7,stem8,stem9,stem10,stem11,stem12,stem13,stem14,stem15,stem16,stem17,stem18,stem19,stem20,stem21,stem22,stem23,stem24,stem25,stem26,stem27,stem28,stem29,stem30,stem31,stem32,stem33,stem34,stem35,stem36,stem37,stem38,stem39,stem40
300,5.4095,0.938192308,-0.319730769,0.921153846,1.190615385,9.766307692,4.249,0.928692308,1.650384615,3.325730769,0.026538462,3.225884615,0.826,1.573192308,2.162923077,1.808461538,2.145769231,0.343730769,0.056115385,1.223461538,1.139269231,7.544,1.522769231,0.953192308,2.108653846,2.283576923,0.283461538,0.722269231,0.716923077,0.923423077,1.625153846,-0.051076923,0.132384615,23.08584615,0.928269231,20.69003846,-0.316192308,2.718192308,0.549,10.56269231,0.823769231,1.224384615,0.251115385,1.424384615,0.842538462,3.702807692,3.721230769,2.230423077,2.550807692,0.968923077,0.575923077,0.755384615,1.057923077,-0.612692308,0.972961538,-0.155923077,0.6935,0.821115385,-0.036115385,2.205,-0.339884615,0.464846154,5.931230769,1.628461538,0.505576923,2.056115385,3.556153846,0.813653846,-0.194307692,2.3205,-0.542846154,0.088653846,3.379115385,13.101,-7.69E-05,6.374038462,-0.234653846,3.418961538,0.909,11.33653846,8.905615385,4.69,1.297653846,-0.893076923,0.660692308,-0.484346154,2.093153846,11.33730769,11.48165385,0.204461538,2.623769231,6.989769231,-0.786346154,6.752423077,19.59553846,9.092730769,0.929538462,3.300192308,-1.371346154,9.582,10.89088462,0.895538462,-0.473,2.773615385,0.010692308,0.717923077,1.581769231,7.797846154,4.043269231,6.457576923,9.069846154,9.082961538,3.545730769,3.318,5.174269231,3.456,1.542230769,4.706038462,1.877346154,-0.792346154
305,4.652703704,0.062740741,-1.095444444,0.45062963,-0.063777778,8.951444444,3.686481481,0.300814815,0.966666667,2.783592593,-0.899962963,2.524148148,-0.002962963,1.147444444,1.543037037,0.936407407,0.988777778,-0.572185185,-1.574148148,0.127518519,0.799814815,7.598,0.667074074,0.222259259,1.422037037,1.412222222,0.196666667,0.280074074,-0.051555556,-0.056296296,0.559037037,-1.117296296,-0.19737037,22.80344444,1.095296296,19.70518519,-0.76862963,2.225148148,0.650666667,10.38833333,0.286814815,0.676740741,-0.45362963,1.255148148,-0.204518519,2.514925926,2.160925926,1.364333333,1.299259259,0.367259259,0.461148148,-0.200259259,0.128703704,-1.070777778,0.241740741,-0.480259259,-0.050666667,0.774222222,0.060740741,1.04062963,-0.382740741,0.347518519,5.215148148,1.543444444,-0.183074074,1.137222222,2.44862963,-0.074259259,-0.973962963,1.405074074,-0.826185185,-0.535592593,2.966259259,12.19937037,-0.949259259,5.006481481,-0.646962963,2.561592593,0.951481481,10.82211111,8.251111111,4.308888889,0.455481481,-2.148296296,0.319185185,-0.797518519,1.473888889,10.89825926,10.51744444,-0.666962963,0.954407407,6.831037037,-1.995555556,5.95937037,18.38948148,8.744185185,0.513888889,3.216074074,-1.90762963,8.507296296,9.310259259,-0.553259259,-1.651851852,2.205407407,-1.513740741,-0.306962963,0.925518519,7.631296296,3.106888889,6.081407407,7.804259259,8.86962963,2.318,3.192296296,4.574814815,2.925444444,0.663074074,3.665444444,0.974407407,-1.03537037
310,4.813222222,0.399925926,-1.087148148,0.231666667,-0.433518519,8.346925926,3.394185185,0.234074074,0.440814815,2.60237037,-1.083777778,1.760444444,0.274888889,1.220444444,1.419407407,0.790703704,0.972111111,0.15437037,-1.213888889,0.473185185,0.606703704,7.42237037,0.280037037,-0.064,1.84462963,1.47237037,0.649888889,0.65637037,0.643222222,-0.71637037,0.790111111,-0.86,0.64337037,22.81407407,0.937444444,19.53218519,-0.531074074,2.339518519,0.730037037,10.53466667,0.879851852,-0.135481481,0.157814815,2.067407407,-0.509851852,2.713814815,2.732074074,1.155296296,1.466740741,0.432666667,1.038703704,-0.637740741,0.116851852,-0.670481481,0.367259259,0.044666667,-0.230518519,0.864962963,-0.248185185,0.529296296,-0.039703704,1.258185185,5.525962963,2.292666667,-0.188703704,0.501222222,2.413592593,0.376185185,-0.345962963,0.782703704,-0.340222222,-0.113925926,1.993185185,12.37644444,-1.714851852,4.948333333,-0.102962963,2.046888889,1.009777778,9.481296296,8.116111111,3.992481481,0.15037037,-2.418888889,0.412666667,-0.294666667,2.039888889,10.59751852,10.45077778,-0.771,0.467518519,7.233703704,-1.296,6.367,18.88459259,8.660333333,0.285185185,3.483592593,-1.802111111,7.715555556,9.045814815,-0.313888889,-1.926592593,2.030703704,-1.394296296,0.393074074,0.512481481,7.704777778,3.493814815,6.123851852,7.961333333,9.171777778,2.779185185,3.414851852,4.620037037,3.372259259,0.969925926,3.278185185,1.218148148,-1.268666667
315,5.882925926,1.194740741,-0.59162963,0.669740741,0.635074074,8.346333333,3.652037037,0.820074074,0.540111111,3.680037037,-0.176259259,2.216925926,0.557740741,1.32062963,1.718148148,2.003925926,1.415592593,1.628592593,0.472185185,2.403740741,0.787296296,7.685481481,0.456037037,0.868148148,2.683888889,2.364888889,1.484740741,0.881962963,1.145555556,-0.102296296,1.620111111,0.266481481,1.736074074,22.29603704,1.272333333,19.11907407,0.105703704,2.66762963,0.693777778,10.56859259,1.60262963,1.005962963,0.85262963,2.600555556,0.174333333,3.372592593,4.257814815,2.210222222,2.742555556,1.434037037,1.59137037,0.155481481,0.961259259,-0.06237037,0.991037037,0.405777778,0.701555556,2.010333333,0.466888889,0.848555556,0.322074074,1.296777778,5.831777778,3.104222222,0.428555556,1.405333333,3.238925926,1.206222222,0.638555556,1.496037037,0.237740741,0.299851852,2.518962963,12.10318519,-0.527703704,5.628740741,1.01237037,2.909185185,1.328592593,8.783555556,8.383592593,4.758814815,1.098777778,-1.025,0.992777778,-0.202185185,2.230962963,11.1057037,10.15440741,0.323259259,1.602148148,7.063481481,0.087222222,7.09962963,19.42577778,8.472296296,0.545777778,3.819666667,-1.581962963,8.111,9.708740741,1.130259259,-0.721259259,2.639777778,0.165407407,1.898925926,1.050074074,8.017185185,4.572296296,6.074259259,8.41437037,8.994888889,3.143925926,2.712518519,5.373851852,3.854925926,1.870703704,4.123851852,2.471814815,-1.027666667
320,4.786074074,0.480925926,-1.079518519,0.284444444,0.670518519,7.310222222,3.651185185,0.790037037,0.415888889,2.706,-0.396185185,2.152444444,0.105740741,0.541814815,1.630777778,1.589037037,0.995444444,0.898592593,-0.214222222,2.279,-0.117333333,6.94037037,0.202888889,1.026518519,2.064888889,2.208851852,0.606481481,-0.004259259,0.648703704,-0.410444444,1.064518519,-0.062407407,1.920666667,20.14881481,1.217592593,17.04688889,-0.101222222,1.973333333,0.310481481,9.278222222,0.897222222,1.359222222,0.073814815,1.598037037,0.171740741,2.743851852,3.467444444,1.942333333,2.149037037,0.673407407,0.477777778,-0.371851852,0.688111111,-0.36262963,0.735037037,0.053925926,0.656444444,1.45037037,0.418703704,0.112296296,-0.038407407,0.240333333,4.968555556,2.623555556,0.194259259,1.217851852,2.565518519,1.263222222,0.079074074,0.962925926,-0.476592593,0.020148148,2.415555556,9.910407407,-0.207962963,4.578444444,0.091703704,2.712444444,0.649222222,7.706296296,6.969333333,4.274518519,1.127740741,-0.937777778,0.747962963,-1.006037037,0.957703704,9.641888889,8.989037037,-0.315185185,0.828814815,5.536888889,0.040777778,6.151703704,17.80407407,6.767666667,0.310037037,3.326962963,-1.573074074,7.36337037,8.04262963,0.115851852,-0.77,1.815814815,-0.569444444,1.097592593,1.063,7.350259259,3.482444444,4.394481481,8.066296296,7.587814815,2.219222222,1.636185185,4.501148148,3.559962963,1.858333333,3.174962963,1.826037037,-1.454148148
325,3.597555556,0.466148148,-0.671777778,-0.202962963,0.241444444,6.190592593,2.984407407,0.142888889,0.68237037,1.100222222,-0.417777778,1.834666667,-0.341407407,0.535037037,1.216777778,0.651925926,1.138111111,0.312555556,-0.716592593,0.963925926,-0.786962963,5.511851852,0.213,0.772037037,1.175481481,2.104814815,0.076814815,-0.277,0.493,-0.684,1.169296296,-0.416037037,2.248851852,18.20162963,0.564444444,15.13403704,-0.491814815,1.476444444,-0.083148148,8.030666667,0.321111111,0.650148148,-0.026444444,0.677259259,0.149740741,2.184444444,2.554259259,0.96537037,1.107222222,-0.727222222,-0.272074074,-0.563111111,0.490703704,-0.788814815,0.680925926,-0.280037037,0.217592593,0.346962963,0.051888889,0.027703704,-0.514407407,-0.078740741,4.139148148,1.923481481,0.059111111,0.793555556,1.689518519,1.145814815,-0.574518519,0.922444444,-0.982222222,-0.618,1.595518519,8.82637037,-0.59062963,3.555111111,-0.21362963,1.774518519,0.152814815,7.016518519,5.440888889,3.606407407,0.725074074,-1.694925926,-0.284111111,-1.441592593,0.463888889,7.558111111,7.920703704,-0.856444444,0.109851852,4.75562963,-0.106814815,5.17337037,15.75840741,5.876296296,0.263407407,2.757185185,-1.561,6.28437037,6.370851852,-0.464333333,-1.148148148,0.503148148,-1.558814815,0.337666667,0.652037037,6.296925926,2.763037037,3.693333333,7.289518519,7.152703704,2.056148148,1.725925926,2.981074074,2.900296296,1.627777778,1.797296296,0.397888889,-1.78662963
330,3.892444444,0.889481481,-0.184740741,0.017592593,0.345925926,6.30737037,2.801481481,0.697518519,1.565518519,1.87,0.034703704,1.596,0.23437037,1.515777778,1.34837037,0.651259259,1.422851852,0.823185185,0.021444444,1.142481481,-0.106185185,5.452925926,0.867481481,1.225555556,1.389,2.319259259,0.872259259,0.490037037,0.515185185,0.022925926,1.980777778,-0.118592593,3.823296296,17.45607407,0.759962963,13.81559259,-0.195444444,1.808222222,0.301296296,7.604740741,0.829703704,0.424333333,0.111888889,0.931592593,0.461777778,2.754296296,2.520444444,1.29037037,1.489407407,-0.143925926,0.141481481,0.017851852,1.053592593,-0.449740741,1.115259259,0.287222222,0.983555556,0.479592593,0.105592593,0.483888889,-0.119185185,-0.013111111,3.870037037,2.221555556,0.006740741,1.03937037,1.591444444,0.456148148,-0.578703704,1.323148148,-0.724925926,-0.578037037,1.877444444,9.370666667,-0.676481481,4.006,0.037333333,1.381592593,0.409259259,6.724259259,5.438111111,3.384925926,0.302296296,-0.949555556,0.451740741,-0.731296296,1.301444444,7.31037037,7.564925926,0.008111111,0.963481481,5.371666667,0.044925926,5.004814815,15.2262963,6.130037037,0.025740741,2.962,-1.223037037,6.288148148,6.266777778,0.688518519,-0.625444444,0.987666667,-0.580222222,0.598518519,1.07437037,6.111,2.884888889,4.575592593,6.514185185,7.190148148,2.185148148,2.40537037,2.781407407,2.612555556,1.425777778,2.213666667,0.814333333,-1.062962963
335,4.208321429,0.441607143,-0.183428571,0.404571429,0.828607143,6.016,3.1695,0.87825,1.702785714,2.416,0.122964286,1.428464286,0.475964286,1.808678571,1.571642857,0.706035714,1.085357143,1.114357143,0.134785714,1.597642857,0.330142857,5.806392857,0.977892857,1.33125,1.833964286,2.296785714,1.20075,0.739321429,0.459571429,0.628714286,2.345285714,0.021035714,5.599678571,17.05025,0.596178571,13.0905,-0.202892857,1.758964286,0.066107143,7.26425,0.979071429,0.615178571,0.174607143,1.34625,0.11675,2.8515,2.646285714,1.506571429,1.719178571,0.866678571,0.368321429,0.267678571,1.136,0.104678571,0.883535714,0.556464286,0.949178571,0.488107143,-0.1535,0.411142857,-0.052821429,0.0985,3.705892857,2.25375,-0.2645,0.922857143,1.944964286,0.417464286,-0.617892857,1.1625,-0.412857143,-0.263285714,2.098107143,9.387642857,-0.74375,4.417821429,-0.052428571,1.4395,0.472464286,6.319357143,5.655214286,2.8055,0.267535714,-0.277821429,1.0635,-0.008928571,1.770428571,7.338964286,7.400535714,-0.145214286,1.320142857,5.224071429,0.113428571,4.837321429,15.26578571,5.84625,-0.338571429,2.855178571,-1.273142857,6.287607143,6.53225,0.919535714,-0.652428571,1.775321429,-0.12925,0.855214286,1.112392857,6.205071429,2.603857143,4.483464286,6.250178571,6.845535714,1.985107143,2.271142857,3.024392857,2.7895,1.282785714,2.635964286,1.411714286,-0.262607143
340,4.085703704,0.697481481,-0.295518519,0.536703704,1.60762963,6.038444444,3.238740741,0.807962963,1.887592593,2.310518519,0.264925926,1.640740741,0.465703704,2.102666667,1.262,0.815814815,1.183555556,1.723444444,0.08337037,1.672888889,0.512666667,5.939962963,0.714518519,1.24162963,1.912814815,2.781074074,1.291925926,1.129740741,0.520555556,1.007222222,2.936814815,0.535111111,6.888703704,17.82177778,0.721333333,12.92351852,-0.140185185,1.639555556,-0.023962963,7.028666667,0.639148148,0.893,0.264074074,1.647444444,-0.094888889,2.497296296,2.664851852,1.429148148,1.615925926,1.279925926,0.543074074,0.292814815,0.603148148,0.020777778,0.731333333,0.273740741,0.746851852,0.233407407,-0.122074074,0.733962963,-0.056296296,0.457592593,3.541111111,1.919444444,-0.207777778,0.802925926,2.361074074,0.709740741,-0.544222222,1.196740741,-0.257962963,-0.133111111,1.944185185,8.597444444,-0.583740741,3.975444444,0.014814815,1.740222222,0.495518519,6.116148148,5.746518519,2.927666667,0.675111111,-0.722777778,0.90337037,-0.08337037,1.709777778,7.390111111,7.20162963,-0.445296296,1.109481481,4.69062963,-0.011296296,4.76437037,15.14596296,5.594888889,-0.219222222,3.086,-1.308185185,6.349925926,6.697222222,0.820703704,-0.683814815,1.646592593,-0.518962963,1.096888889,1.169074074,6.102481481,2.789814815,4.062259259,6.327925926,6.569851852,2.371407407,2.254259259,3.346074074,2.533592593,1.34337037,2.398777778,1.453518519,-0.163148148
345,4.049148148,1.005703704,0.014407407,0.371592593,2.28737037,5.811407407,2.912185185,1.151518519,2.430814815,2.450111111,0.547074074,1.848925926,0.562666667,2.29737037,0.856481481,1.196259259,0.840296296,2.073037037,0.106481481,1.575407407,0.78437037,5.886888889,0.371888889,1.390555556,1.614666667,3.113037037,1.375296296,1.143148148,0.225,0.84,3.857851852,0.913888889,7.82237037,18.96448148,0.655703704,12.65359259,0.11,1.750666667,0.116518519,6.951888889,0.557740741,0.866296296,-0.008074074,1.887,0.151666667,2.533407407,2.566740741,1.095111111,1.550333333,0.869407407,0.504333333,-0.079037037,0.127296296,-0.325074074,0.734555556,-0.124185185,0.653,0.323703704,-0.294592593,0.908777778,0.211925926,0.392592593,3.207074074,1.884407407,-0.391444444,0.871666667,2.140962963,0.332481481,-0.468037037,1.097074074,-0.32137037,-0.14637037,2.073851852,8.228851852,-0.827925926,3.677962963,-0.185037037,1.711814815,0.418185185,5.684148148,5.875925926,2.685592593,0.684259259,-0.756925926,1.043592593,-0.63262963,1.822111111,6.92037037,7.392888889,-0.765777778,1.105,4.953222222,-0.131592593,4.935407407,14.97148148,5.658740741,-0.148481481,3.049666667,-0.937592593,6.222962963,6.341777778,1.005111111,-0.318518519,1.416333333,-0.416481481,0.989740741,1.163296296,5.66762963,2.602481481,4.045555556,5.83262963,6.074407407,2.454074074,1.981888889,3.350481481,2.347518519,1.239333333,2.031222222,1.281592593,-0.50862963
