"SocialContext","VisualRealm","parameter","beta","SE","df","CI_L","CI_U"
"Male-Male Display","Achromatic Contrast","(Intercept)",35.4948287310052,0.840784616103457,34.8920975283796,33.7877565057977,37.2019009562128
"","","PopulationKenya",-2.38797684493705,1.02613227079048,66.865532500949,-4.43622114547289,-0.339732544401212
"","","Background_popKenya",-8.1993352280154,0.0356955480909352,62.2148330487152,-8.27068471101403,-8.12798574501678
"","Chromatic Contrast","(Intercept)1",4.62842833104588,0.15817572343644,34.9214309127504,4.30728871270641,4.94956794938534
"","","PopulationKenya1",0.663617311014709,0.1999371397398,66.8634500835499,0.264526128015111,1.06270849401431
"","","Background_popKenya1",-0.827376516328948,0.0220145256477551,62.214833048715,-0.871379903513979,-0.783373129143917
"Courtship Display","Achromatic Contrast","(Intercept)2",33.6201851558471,0.998773944162667,25.2305219276538,31.5641242634834,35.6762460482109
"","","PopulationKenya2",-3.86842000558356,1.28357047194189,51.6316581238381,-6.44453003738128,-1.29230997378584
"","","Background_popKenya2",-8.04548216625848,0.0925611533477555,52.0749818187362,-8.23121334330477,-7.85975098921219
"","Chromatic Contrast","(Intercept)3",4.52486689367433,0.167430175298799,25.1122712864494,4.18011614637997,4.86961764096868
"","","PopulationKenya3",0.287301927823416,0.234206164385811,51.6451254285522,-0.182744003097747,0.757347858744579
"","","Background_popKenya3",-0.752264313779593,0.0324214837142078,52.0749818187362,-0.817320550808136,-0.687208076751051
